task_id,task_size,vm_id,data_id,data_size,response_time,dttr,availability,load,profit
23,342,VM0-0-2-7,112,363.0,1.062,0.0632134703196347,0.0,0.456,0.69
23,342,VM0-0-2-7,60,710.0,1.062,0.06289808917197452,0.0,0.456,0.69
23,342,VM0-0-2-7,161,694.0,1.062,0.06290637191157347,0.0,0.456,0.69
23,342,VM0-0-2-7,157,471.0,1.062,0.06307234432234432,0.0,0.456,0.69
24,762,VM0-0-3-0,109,925.0,2.182,0.06281250000000001,0.0,1.016,0.69
24,762,VM0-0-3-0,35,830.0,2.182,0.06284530386740332,0.0,1.016,0.69
24,762,VM0-0-3-0,6,975.0,2.182,0.06279761904761905,0.0,1.016,0.69
24,762,VM0-0-3-0,59,635.0,2.182,0.06294014084507042,0.0,1.016,0.69
25,297,VM0-0-3-1,71,437.0,0.942,0.0631103515625,0.0,0.396,0.69
26,208,VM0-0-3-2,20,569.0,0.39666666666666667,0.06298524844720498,0.0,0.2773333333333333,0.69
27,458,VM0-0-3-3,94,545.0,1.3713333333333333,0.06300403225806452,0.0,0.6106666666666667,0.69
27,458,VM0-0-3-3,81,472.0,1.3713333333333333,0.06307129798903108,0.0,0.6106666666666667,0.69
27,458,VM0-0-3-3,129,620.0,1.3713333333333333,0.06294964028776978,0.0,0.6106666666666667,0.69
28,298,VM0-0-3-4,82,458.0,0.9446666666666667,0.06308630393996248,0.0,0.3973333333333333,0.69
29,952,VM0-0-3-5,42,785.0,0.7636666666666667,0.06286337209302326,0.0,1.2693333333333334,0.69
29,952,VM0-0-3-5,148,841.0,0.7636666666666667,0.06284115720524018,0.0,1.2693333333333334,0.69
29,952,VM0-0-3-5,136,473.0,0.7636666666666667,0.06307025547445255,0.0,1.2693333333333334,0.69
29,952,VM0-0-3-5,68,556.0,0.7636666666666667,0.06299524564183835,0.0,1.2693333333333334,0.69
30,535,VM0-0-3-6,100,315.0,1.5766666666666667,0.06330128205128205,0.0,0.7133333333333334,0.69
30,535,VM0-0-3-6,103,978.0,1.5766666666666667,0.06279677113010447,0.0,0.7133333333333334,0.69
31,700,VM0-0-3-7,62,570.0,2.0166666666666666,0.06298449612403101,0.0,0.9333333333333333,0.69
31,700,VM0-0-3-7,67,758.0,2.0166666666666666,0.062875150060024,0.0,0.9333333333333333,0.69
31,700,VM0-0-3-7,15,398.0,2.0166666666666666,0.06316067653276955,0.0,0.9333333333333333,0.69
31,700,VM0-0-3-7,76,632.0,2.0166666666666666,0.06294200848656294,0.0,0.9333333333333333,0.69
31,700,VM0-0-3-7,116,657.0,2.0166666666666666,0.06292691256830601,0.0,0.9333333333333333,0.69
32,411,VM0-0-4-0,164,520.0,1.246,0.06302521008403361,0.0,0.548,0.69
32,411,VM0-0-4-0,189,439.0,1.246,0.0631079766536965,0.0,0.548,0.69
32,411,VM0-0-4-0,152,338.0,1.246,0.06325665859564164,0.0,0.548,0.69
33,283,VM0-0-4-1,175,696.0,0.5216666666666666,0.062905317769131,0.0,0.3773333333333333,0.69
33,283,VM0-0-4-1,72,456.0,0.5216666666666666,0.06308851224105462,0.0,0.3773333333333333,0.69
33,283,VM0-0-4-1,35,830.0,0.5216666666666666,0.06284530386740332,0.0,0.3773333333333333,0.69
33,283,VM0-0-4-1,79,490.0,0.5216666666666666,0.06305309734513274,0.0,0.3773333333333333,0.69
33,283,VM0-0-4-1,85,383.0,0.5216666666666666,0.06318231441048035,0.0,0.3773333333333333,0.69
34,297,VM0-0-4-2,164,520.0,0.245125,0.06302521008403361,0.0,0.396,0.69
34,297,VM0-0-4-2,193,532.0,0.245125,0.06301482701812192,0.0,0.396,0.69
34,297,VM0-0-4-2,126,815.0,0.245125,0.06285112359550561,0.0,0.396,0.69
